episode,falls,speed,average deviation
329,0,0.003244147,0.398771811
330,0,0.003879599,0.100979147
331,0,0.003511706,0.368542637
332,0,0.004013378,0.119407015
333,0,0.003511706,0.203309835
334,0,0.003879599,0.104840469
335,1,0.005258216,0.293726628
336,0,0.003578595,0.387824484
337,0,0.003779264,0.288601629
338,0,0.00361204,0.270088476
339,0,0.003478261,0.174683669
340,1,0.005690377,0.074422035
341,0,0.003779264,0.475642115
342,0,0.004046823,0.150547275
343,0,0.003846154,0.108530966
344,1,0.006741573,0.166505668
345,0,0.004314381,0.344178554
346,0,0.003110368,0.130309369
347,0,0.003812709,0.193059084
348,0,0.00361204,0.22252938
349,0,0.003210702,0.271455507
350,0,0.004046823,0.157591159
351,0,0.003745819,0.128915485
352,0,0.00361204,0.157878463
353,0,0.004046823,0.342410649
354,0,0.003879599,0.425261421
355,0,0.003712375,0.186898778
356,1,0.004778325,0.058167107
357,0,0.003377926,0.449822866
358,0,0.00367893,0.454484093
359,1,0.004882155,0.728341956
360,0,0.004147157,0.305766712
361,0,0.003913043,0.294401728
362,0,0.00361204,0.182099508
363,1,0.005733333,0.464012579
364,0,0.003712375,0.227181618
365,0,0.003913043,0.346394985
366,0,0.003444816,0.161721485
367,1,0.005971564,0.266764299
368,0,0.004548495,0.348910601
369,0,0.003812709,0.114798565
370,0,0.003545151,0.115928842
371,1,0.005490196,0.1686501
372,0,0.003812709,0.109611919
373,0,0.003478261,0.166026499
374,0,0.003645485,0.137183303
375,1,0.007123288,0.173748574
376,1,0.003152709,0.688029468
377,0,0.003377926,0.395972282
378,1,0.005418719,0.485353737
379,0,0.00458194,0.18848367
380,0,0.003946488,0.12491459
381,0,0.004147157,0.324687083
382,1,0.00408867,0.268065178
383,0,0.004046823,0.168202376
384,0,0.003979933,0.32770808
385,0,0.003979933,0.138993946
386,0,0.003779264,0.070966749
387,0,0.003846154,0.338242619
388,0,0.00367893,0.112539504
389,0,0.003846154,0.272547217
390,0,0.003411371,0.235296167
391,0,0.004782609,0.252045319
392,1,0.004850498,0.129786853
393,0,0.003311037,0.130729018
394,0,0.003979933,0.163666516
395,0,0.004280936,0.097824233
396,0,0.003444816,0.237344552
397,1,0.005771812,0.164291131
398,0,0.003846154,0.282853715
399,0,0.004448161,0.206205735
400,0,0.003511706,0.081322158
401,0,0.003879599,0.451644253
402,0,0.003979933,0.361622168
403,0,0.003979933,0.190685768
